AnnoMese,Postazione,Giorno,N Giorno Settimana,Strada,Transiti - Totale,Transiti - Non Classificato,Transiti - Leggeri,Transiti - Pesanti,Transiti - Diurno,Transiti - Notturno,Transiti - Feriali,Transiti - Festivi
2020/01,6,01/01/2020,3,SS 12 tra Fiumalbo e Abetone,4.573,0,4.560,13,3.451,1.122,0,4.573
2020/01,6,02/01/2020,4,SS 12 tra Fiumalbo e Abetone,3.709,0,3.664,45,3.226,483,3.709,0
2020/01,6,03/01/2020,5,SS 12 tra Fiumalbo e Abetone,3.476,0,3.412,64,2.854,622,3.476,0
2020/01,6,04/01/2020,6,SS 12 tra Fiumalbo e Abetone,4.397,0,4.350,47,3.198,1.199,0,4.397
2020/01,6,05/01/2020,7,SS 12 tra Fiumalbo e Abetone,3.910,0,3.904,6,3.164,746,0,3.910
2020/01,6,06/01/2020,1,SS 12 tra Fiumalbo e Abetone,2.761,0,2.756,5,2.485,276,0,2.761
2020/01,6,07/01/2020,2,SS 12 tra Fiumalbo e Abetone,1.354,0,1.316,38,1.173,181,1.354,0
2020/01,6,08/01/2020,3,SS 12 tra Fiumalbo e Abetone,1.192,1,1.158,33,1.026,166,1.192,0
2020/01,6,09/01/2020,4,SS 12 tra Fiumalbo e Abetone,1.299,0,1.262,37,1.088,211,1.299,0
2020/01,6,10/01/2020,5,SS 12 tra Fiumalbo e Abetone,1.488,0,1.433,55,1.176,312,1.488,0
2020/01,6,11/01/2020,6,SS 12 tra Fiumalbo e Abetone,2.088,0,2.068,20,1.608,480,0,2.088
2020/01,6,12/01/2020,7,SS 12 tra Fiumalbo e Abetone,1.894,0,1.887,7,1.569,325,0,1.894
2020/01,6,13/01/2020,1,SS 12 tra Fiumalbo e Abetone,1.282,0,1.256,26,1.121,161,1.282,0
2020/01,6,14/01/2020,2,SS 12 tra Fiumalbo e Abetone,1.186,0,1.153,33,1.017,169,1.186,0
2020/01,7,01/01/2020,3,SS 64 tra Porretta Terme e Sambuca Pistoiese,5.228,0,5.207,21,3.872,1.356,0,5.228
2020/01,7,02/01/2020,4,SS 64 tra Porretta Terme e Sambuca Pistoiese,6.701,0,6.589,112,5.765,936,6.701,0
2020/01,7,03/01/2020,5,SS 64 tra Porretta Terme e Sambuca Pistoiese,6.954,0,6.823,131,5.770,1.184,6.954,0
2020/01,7,04/01/2020,6,SS 64 tra Porretta Terme e Sambuca Pistoiese,7.315,2,7.224,89,6.030,1.285,0,7.315
2020/01,7,05/01/2020,7,SS 64 tra Porretta Terme e Sambuca Pistoiese,6.089,0,6.061,28,4.846,1.243,0,6.089
