"AnnoMese";"Postazione";"Giorno";"N Giorno Settimana";"Strada";"Transiti - Totale";"Transiti - Non Classificato";"Transiti - Leggeri";"Transiti - Pesanti";"Transiti - Diurno";"Transiti - Notturno";"Transiti - Feriali";"Transiti - Festivi"
"2025/06";"6";"15/06/2025";"7";"SS 12 tra Fiumalbo e confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/06";"6";"16/06/2025";"1";"SS 12 tra Fiumalbo e confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/06";"6";"17/06/2025";"2";"SS 12 tra Fiumalbo e confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/06";"6";"18/06/2025";"3";"SS 12 tra Fiumalbo e confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/06";"6";"19/06/2025";"4";"SS 12 tra Fiumalbo e confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/06";"9";"15/06/2025";"7";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"2.024";"0";"2.003";"21";"1.659";"365";"0";"2.024"
"2025/06";"9";"16/06/2025";"1";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.327";"0";"1.275";"52";"1.068";"259";"1.327";"0"
"2025/06";"9";"17/06/2025";"2";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.175";"0";"1.129";"46";"904";"271";"1.175";"0"
"2025/06";"9";"18/06/2025";"3";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.288";"0";"1.227";"61";"1.000";"288";"1.288";"0"
"2025/06";"9";"19/06/2025";"4";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.365";"0";"1.315";"50";"1.008";"357";"1.365";"0"
"2025/06";"9";"20/06/2025";"5";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.598";"0";"1.542";"56";"1.206";"392";"1.598";"0"
"2025/06";"9";"21/06/2025";"6";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.851";"0";"1.821";"30";"1.467";"384";"0";"1.851"
"2025/06";"9";"22/06/2025";"7";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"2.146";"0";"2.123";"23";"1.637";"509";"0";"2.146"
"2025/06";"9";"23/06/2025";"1";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.502";"0";"1.447";"55";"1.182";"320";"1.502";"0"
