"AnnoMese";"Postazione";"Giorno";"N Giorno Settimana";"Strada";"Transiti - Totale";"Transiti - Non Classificato";"Transiti - Leggeri";"Transiti - Pesanti";"Transiti - Diurno";"Transiti - Notturno";"Transiti - Feriali";"Transiti - Festivi"
"2025/06";"6";"01/06/2025";"7";"SS 12 tra Fiumalbo e confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/06";"6";"02/06/2025";"1";"SS 12 tra Fiumalbo e confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/06";"6";"03/06/2025";"2";"SS 12 tra Fiumalbo e confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/06";"6";"04/06/2025";"3";"SS 12 tra Fiumalbo e confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/06";"6";"05/06/2025";"4";"SS 12 tra Fiumalbo e confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/06";"6";"06/06/2025";"5";"SS 12 tra Fiumalbo e confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/06";"6";"07/06/2025";"6";"SS 12 tra Fiumalbo e confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/06";"6";"08/06/2025";"7";"SS 12 tra Fiumalbo e confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/06";"6";"09/06/2025";"1";"SS 12 tra Fiumalbo e confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/06";"6";"10/06/2025";"2";"SS 12 tra Fiumalbo e confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/06";"6";"11/06/2025";"3";"SS 12 tra Fiumalbo e confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/06";"6";"12/06/2025";"4";"SS 12 tra Fiumalbo e confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/06";"6";"13/06/2025";"5";"SS 12 tra Fiumalbo e confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/06";"6";"14/06/2025";"6";"SS 12 tra Fiumalbo e confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/06";"9";"01/06/2025";"7";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.907";"0";"1.891";"16";"1.559";"348";"0";"1.907"
"2025/06";"9";"02/06/2025";"1";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"2.324";"0";"2.290";"34";"1.857";"467";"2.324";"0"
"2025/06";"9";"03/06/2025";"2";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.326";"0";"1.270";"56";"1.036";"290";"1.326";"0"
