Stazione,Data inizio,Data fine,Strumento,PM10,Unità di misura,F1,F2,F3,F4
DE AMICIS,31/12/2019,01/01/2020,FAI SWAM 5A,42,ug/m3,,1,1,1
DE AMICIS,01/01/2020,02/01/2020,FAI SWAM 5A,39,ug/m3,,,1,1
DE AMICIS,02/01/2020,03/01/2020,FAI SWAM 5A,49,ug/m3,,,1,1
DE AMICIS,03/01/2020,04/01/2020,FAI SWAM 5A,44,ug/m3,,,1,1
DE AMICIS,04/01/2020,05/01/2020,FAI SWAM 5A,27,ug/m3,,,1,1
DE AMICIS,05/01/2020,06/01/2020,FAI SWAM 5A,28,ug/m3,,,1,1
DE AMICIS,06/01/2020,07/01/2020,FAI SWAM 5A,18,ug/m3,,,1,1
DE AMICIS,07/01/2020,08/01/2020,FAI SWAM 5A,53,ug/m3,,,1,1
DE AMICIS,08/01/2020,09/01/2020,FAI SWAM 5A,52,ug/m3,,,1,1
DE AMICIS,09/01/2020,10/01/2020,FAI SWAM 5A,45,ug/m3,,,1,1
DE AMICIS,10/01/2020,11/01/2020,FAI SWAM 5A,38,ug/m3,,,1,1
DE AMICIS,11/01/2020,12/01/2020,FAI SWAM 5A,59,ug/m3,,,1,1
DE AMICIS,12/01/2020,13/01/2020,FAI SWAM 5A,41,ug/m3,,,1,1
DE AMICIS,13/01/2020,14/01/2020,FAI SWAM 5A,51,ug/m3,,,1,1
DE AMICIS,14/01/2020,15/01/2020,FAI SWAM 5A,71,ug/m3,,,1,1
DE AMICIS,15/01/2020,16/01/2020,FAI SWAM 5A,98,ug/m3,,,1,1
DE AMICIS,16/01/2020,17/01/2020,FAI SWAM 5A,92,ug/m3,,,1,1
DE AMICIS,17/01/2020,18/01/2020,FAI SWAM 5A,35,ug/m3,,,1,1
DE AMICIS,18/01/2020,19/01/2020,FAI SWAM 5A,23,ug/m3,,,1,1
DE AMICIS,19/01/2020,20/01/2020,FAI SWAM 5A,24,ug/m3,,,1,1
DE AMICIS,20/01/2020,21/01/2020,FAI SWAM 5A,28,ug/m3,,,1,1
DE AMICIS,21/01/2020,22/01/2020,FAI SWAM 5A,35,ug/m3,,,1,1
DE AMICIS,22/01/2020,23/01/2020,FAI SWAM 5A,31,ug/m3,,,1,1
DE AMICIS,23/01/2020,24/01/2020,FAI SWAM 5A,53,ug/m3,,,1,1
DE AMICIS,24/01/2020,25/01/2020,FAI SWAM 5A,71,ug/m3,,,1,1
DE AMICIS,25/01/2020,26/01/2020,FAI SWAM 5A,80,ug/m3,,,1,1
DE AMICIS,26/01/2020,27/01/2020,FAI SWAM 5A,55,ug/m3,,,1,1
DE AMICIS,27/01/2020,28/01/2020,FAI SWAM 5A,24,ug/m3,,,1,1
DE AMICIS,28/01/2020,29/01/2020,FAI SWAM 5A,16,ug/m3,,,1,1
