Stazione,Data inizio,Data fine,Strumento,NO2 (Biossido di azoto),Unità di misura,F1,F2,F3,F4
SAN FRANCESCO,30/12/2019 23.00.00,31/12/2019,API 200E,24,ug/m3,,1,1,1
SAN FRANCESCO,31/12/2019,31/12/2019 1.00.00,API 200E,19,ug/m3,,1,1,1
SAN FRANCESCO,31/12/2019 1.00.00,31/12/2019 2.00.00,API 200E,13,ug/m3,,1,1,1
SAN FRANCESCO,31/12/2019 2.00.00,31/12/2019 3.00.00,API 200E,11,ug/m3,,1,1,1
SAN FRANCESCO,31/12/2019 3.00.00,31/12/2019 4.00.00,API 200E,15,ug/m3,,1,1,1
SAN FRANCESCO,31/12/2019 4.00.00,31/12/2019 5.00.00,API 200E,14,ug/m3,,1,1,1
SAN FRANCESCO,31/12/2019 5.00.00,31/12/2019 6.00.00,API 200E,15,ug/m3,,1,1,1
SAN FRANCESCO,31/12/2019 6.00.00,31/12/2019 7.00.00,API 200E,18,ug/m3,,1,1,1
SAN FRANCESCO,31/12/2019 7.00.00,31/12/2019 8.00.00,API 200E,28,ug/m3,,1,1,1
SAN FRANCESCO,31/12/2019 8.00.00,31/12/2019 9.00.00,API 200E,31,ug/m3,,1,1,1
SAN FRANCESCO,31/12/2019 9.00.00,31/12/2019 10.00.00,API 200E,40,ug/m3,,1,1,1
SAN FRANCESCO,31/12/2019 10.00.00,31/12/2019 11.00.00,API 200E,56,ug/m3,,1,1,1
SAN FRANCESCO,31/12/2019 11.00.00,31/12/2019 12.00.00,API 200E,63,ug/m3,,1,1,1
SAN FRANCESCO,31/12/2019 12.00.00,31/12/2019 13.00.00,API 200E,67,ug/m3,,1,1,1
SAN FRANCESCO,31/12/2019 13.00.00,31/12/2019 14.00.00,API 200E,61,ug/m3,,1,1,1
SAN FRANCESCO,31/12/2019 14.00.00,31/12/2019 15.00.00,API 200E,62,ug/m3,,1,1,1
SAN FRANCESCO,31/12/2019 15.00.00,31/12/2019 16.00.00,API 200E,71,ug/m3,,1,1,1
SAN FRANCESCO,31/12/2019 16.00.00,31/12/2019 17.00.00,API 200E,61,ug/m3,,1,1,1
SAN FRANCESCO,31/12/2019 17.00.00,31/12/2019 18.00.00,API 200E,45,ug/m3,,1,1,1
SAN FRANCESCO,31/12/2019 18.00.00,31/12/2019 19.00.00,API 200E,39,ug/m3,,1,1,1
SAN FRANCESCO,31/12/2019 19.00.00,31/12/2019 20.00.00,API 200E,38,ug/m3,,1,1,1
SAN FRANCESCO,31/12/2019 20.00.00,31/12/2019 21.00.00,API 200E,32,ug/m3,,1,1,1
SAN FRANCESCO,31/12/2019 21.00.00,31/12/2019 22.00.00,API 200E,36,ug/m3,,1,1,1
SAN FRANCESCO,31/12/2019 22.00.00,31/12/2019 23.00.00,API 200E,33,ug/m3,,1,1,1
SAN FRANCESCO,31/12/2019 23.00.00,01/01/2020,API 200E,21,ug/m3,,1,1,1
SAN FRANCESCO,01/01/2020,01/01/2020 1.00.00,API 200E,16,ug/m3,,,1,1
SAN FRANCESCO,01/01/2020 1.00.00,01/01/2020 2.00.00,API 200E,28,ug/m3,,,1,1
SAN FRANCESCO,01/01/2020 2.00.00,01/01/2020 3.00.00,API 200E,30,ug/m3,,,1,1
SAN FRANCESCO,01/01/2020 3.00.00,01/01/2020 4.00.00,API 200E,35,ug/m3,,,1,1
SAN FRANCESCO,01/01/2020 4.00.00,01/01/2020 5.00.00,API 200E,27,ug/m3,,,1,1
SAN FRANCESCO,01/01/2020 5.00.00,01/01/2020 6.00.00,API 200E,26,ug/m3,,,1,1
SAN FRANCESCO,01/01/2020 6.00.00,01/01/2020 7.00.00,API 200E,22,ug/m3,,,1,1
SAN FRANCESCO,01/01/2020 7.00.00,01/01/2020 8.00.00,API 200E,16,ug/m3,,,1,1
SAN FRANCESCO,01/01/2020 8.00.00,01/01/2020 9.00.00,API 200E,16,ug/m3,,,1,1
