Stazione,Data inizio,Data fine,Strumento,NO2 (Biossido di azoto),Unità di misura,F1,F2,F3,F4
LUGAGNANO,30/12/2019 23.00.00,31/12/2019,API 200E,12,ug/m3,,1,1,1
LUGAGNANO,31/12/2019,31/12/2019 1.00.00,API 200E,12,ug/m3,,1,1,1
LUGAGNANO,31/12/2019 1.00.00,31/12/2019 2.00.00,API 200E,10,ug/m3,,1,1,1
LUGAGNANO,31/12/2019 2.00.00,31/12/2019 3.00.00,API 200E,8,ug/m3,,1,1,1
LUGAGNANO,31/12/2019 3.00.00,31/12/2019 4.00.00,API 200E,7,ug/m3,,1,1,1
LUGAGNANO,31/12/2019 4.00.00,31/12/2019 5.00.00,API 200E,10,ug/m3,,1,1,1
LUGAGNANO,31/12/2019 5.00.00,31/12/2019 6.00.00,API 200E,13,ug/m3,,1,1,1
LUGAGNANO,31/12/2019 6.00.00,31/12/2019 7.00.00,API 200E,14,ug/m3,,1,1,1
LUGAGNANO,31/12/2019 7.00.00,31/12/2019 8.00.00,API 200E,23,ug/m3,,1,1,1
LUGAGNANO,31/12/2019 8.00.00,31/12/2019 9.00.00,API 200E,28,ug/m3,,1,1,1
LUGAGNANO,31/12/2019 9.00.00,31/12/2019 10.00.00,API 200E,33,ug/m3,,1,1,1
LUGAGNANO,31/12/2019 10.00.00,31/12/2019 11.00.00,API 200E,29,ug/m3,,1,1,1
LUGAGNANO,31/12/2019 11.00.00,31/12/2019 12.00.00,API 200E,27,ug/m3,,1,1,1
LUGAGNANO,31/12/2019 12.00.00,31/12/2019 13.00.00,API 200E,20,ug/m3,,1,1,1
LUGAGNANO,31/12/2019 13.00.00,31/12/2019 14.00.00,API 200E,17,ug/m3,,1,1,1
LUGAGNANO,31/12/2019 14.00.00,31/12/2019 15.00.00,API 200E,21,ug/m3,,1,1,1
LUGAGNANO,31/12/2019 15.00.00,31/12/2019 16.00.00,API 200E,32,ug/m3,,1,1,1
LUGAGNANO,31/12/2019 16.00.00,31/12/2019 17.00.00,API 200E,52,ug/m3,,1,1,1
LUGAGNANO,31/12/2019 17.00.00,31/12/2019 18.00.00,API 200E,46,ug/m3,,1,1,1
LUGAGNANO,31/12/2019 18.00.00,31/12/2019 19.00.00,API 200E,49,ug/m3,,1,1,1
LUGAGNANO,31/12/2019 19.00.00,31/12/2019 20.00.00,API 200E,32,ug/m3,,1,1,1
