Stazione,Data inizio,Data fine,Strumento,NO2 (Biossido di azoto),Unità di misura,F1,F2,F3,F4
CASTELLARANO,30/12/2019 23.00.00,31/12/2019,API 200E,14,ug/m3,,1,1,1
CASTELLARANO,31/12/2019,31/12/2019 1.00.00,API 200E,13,ug/m3,,1,1,1
CASTELLARANO,31/12/2019 1.00.00,31/12/2019 2.00.00,API 200E,10,ug/m3,,1,1,1
CASTELLARANO,31/12/2019 2.00.00,31/12/2019 3.00.00,API 200E,8,ug/m3,,1,1,1
CASTELLARANO,31/12/2019 3.00.00,31/12/2019 4.00.00,API 200E,,ug/m3,,-5,-5,-5
CASTELLARANO,31/12/2019 4.00.00,31/12/2019 5.00.00,API 200E,8,ug/m3,,1,1,1
CASTELLARANO,31/12/2019 5.00.00,31/12/2019 6.00.00,API 200E,11,ug/m3,,1,1,1
CASTELLARANO,31/12/2019 6.00.00,31/12/2019 7.00.00,API 200E,9,ug/m3,,1,1,1
CASTELLARANO,31/12/2019 7.00.00,31/12/2019 8.00.00,API 200E,15,ug/m3,,1,1,1
CASTELLARANO,31/12/2019 8.00.00,31/12/2019 9.00.00,API 200E,21,ug/m3,,1,1,1
CASTELLARANO,31/12/2019 9.00.00,31/12/2019 10.00.00,API 200E,21,ug/m3,,1,1,1
CASTELLARANO,31/12/2019 10.00.00,31/12/2019 11.00.00,API 200E,22,ug/m3,,1,1,1
CASTELLARANO,31/12/2019 11.00.00,31/12/2019 12.00.00,API 200E,18,ug/m3,,1,1,1
CASTELLARANO,31/12/2019 12.00.00,31/12/2019 13.00.00,API 200E,20,ug/m3,,1,1,1
CASTELLARANO,31/12/2019 13.00.00,31/12/2019 14.00.00,API 200E,22,ug/m3,,1,1,1
CASTELLARANO,31/12/2019 14.00.00,31/12/2019 15.00.00,API 200E,28,ug/m3,,1,1,1
CASTELLARANO,31/12/2019 15.00.00,31/12/2019 16.00.00,API 200E,32,ug/m3,,1,1,1
CASTELLARANO,31/12/2019 16.00.00,31/12/2019 17.00.00,API 200E,36,ug/m3,,1,1,1
CASTELLARANO,31/12/2019 17.00.00,31/12/2019 18.00.00,API 200E,30,ug/m3,,1,1,1
CASTELLARANO,31/12/2019 18.00.00,31/12/2019 19.00.00,API 200E,37,ug/m3,,1,1,1
CASTELLARANO,31/12/2019 19.00.00,31/12/2019 20.00.00,API 200E,32,ug/m3,,1,1,1
CASTELLARANO,31/12/2019 20.00.00,31/12/2019 21.00.00,API 200E,29,ug/m3,,1,1,1
CASTELLARANO,31/12/2019 21.00.00,31/12/2019 22.00.00,API 200E,19,ug/m3,,1,1,1
CASTELLARANO,31/12/2019 22.00.00,31/12/2019 23.00.00,API 200E,14,ug/m3,,1,1,1
CASTELLARANO,31/12/2019 23.00.00,01/01/2020,API 200E,12,ug/m3,,1,1,1
CASTELLARANO,01/01/2020,01/01/2020 1.00.00,API 200E,15,ug/m3,,,1,1
CASTELLARANO,01/01/2020 1.00.00,01/01/2020 2.00.00,API 200E,12,ug/m3,,,1,1
CASTELLARANO,01/01/2020 2.00.00,01/01/2020 3.00.00,API 200E,,ug/m3,,,-5,-5
CASTELLARANO,01/01/2020 3.00.00,01/01/2020 4.00.00,API 200E,15,ug/m3,,,1,1
CASTELLARANO,01/01/2020 4.00.00,01/01/2020 5.00.00,API 200E,10,ug/m3,,,1,1
CASTELLARANO,01/01/2020 5.00.00,01/01/2020 6.00.00,API 200E,11,ug/m3,,,1,1
