Stazione,Data inizio,Data fine,Strumento,NO2 (Biossido di azoto),Unità di misura,F1,F2,F3,F4
PARCO RESISTENZA,30/12/2019 23.00.00,31/12/2019,API 200E,,ug/m3,,-5,-5,-5
PARCO RESISTENZA,31/12/2019,31/12/2019 1.00.00,API 200E,,ug/m3,,-5,-5,-5
PARCO RESISTENZA,31/12/2019 1.00.00,31/12/2019 2.00.00,API 200E,,ug/m3,,-5,-5,-5
PARCO RESISTENZA,31/12/2019 2.00.00,31/12/2019 3.00.00,API 200E,,ug/m3,,-5,-5,-5
PARCO RESISTENZA,31/12/2019 3.00.00,31/12/2019 4.00.00,API 200E,,ug/m3,,-5,-5,-5
PARCO RESISTENZA,31/12/2019 4.00.00,31/12/2019 5.00.00,API 200E,,ug/m3,,-5,-5,-5
PARCO RESISTENZA,31/12/2019 5.00.00,31/12/2019 6.00.00,API 200E,,ug/m3,,-5,-5,-5
PARCO RESISTENZA,31/12/2019 6.00.00,31/12/2019 7.00.00,API 200E,,ug/m3,,-5,-5,-5
PARCO RESISTENZA,31/12/2019 7.00.00,31/12/2019 8.00.00,API 200E,,ug/m3,,-5,-5,-5
PARCO RESISTENZA,31/12/2019 8.00.00,31/12/2019 9.00.00,API 200E,,ug/m3,,-5,-5,-5
PARCO RESISTENZA,31/12/2019 9.00.00,31/12/2019 10.00.00,API 200E,,ug/m3,,-5,-5,-5
PARCO RESISTENZA,31/12/2019 10.00.00,31/12/2019 11.00.00,API 200E,,ug/m3,,-5,-5,-5
PARCO RESISTENZA,31/12/2019 12.00.00,31/12/2019 13.00.00,API 200E,,ug/m3,,-5,-5,-5
PARCO RESISTENZA,31/12/2019 13.00.00,31/12/2019 14.00.00,API 200E,,ug/m3,,-5,-5,-5
PARCO RESISTENZA,31/12/2019 14.00.00,31/12/2019 15.00.00,API 200E,,ug/m3,,-5,-5,-5
PARCO RESISTENZA,31/12/2019 15.00.00,31/12/2019 16.00.00,API 200E,,ug/m3,,-5,-5,-5
PARCO RESISTENZA,31/12/2019 16.00.00,31/12/2019 17.00.00,API 200E,,ug/m3,,-5,-5,-5
PARCO RESISTENZA,31/12/2019 17.00.00,31/12/2019 18.00.00,API 200E,,ug/m3,,-5,-5,-5
PARCO RESISTENZA,31/12/2019 18.00.00,31/12/2019 19.00.00,API 200E,,ug/m3,,-5,-5,-5
PARCO RESISTENZA,31/12/2019 19.00.00,31/12/2019 20.00.00,API 200E,,ug/m3,,-5,-5,-5
PARCO RESISTENZA,31/12/2019 20.00.00,31/12/2019 21.00.00,API 200E,,ug/m3,,-5,-5,-5
PARCO RESISTENZA,31/12/2019 21.00.00,31/12/2019 22.00.00,API 200E,,ug/m3,,-5,-5,-5
PARCO RESISTENZA,31/12/2019 22.00.00,31/12/2019 23.00.00,API 200E,,ug/m3,,-5,-5,-5
PARCO RESISTENZA,31/12/2019 23.00.00,01/01/2020,API 200E,,ug/m3,,-5,-5,-5
PARCO RESISTENZA,01/01/2020,01/01/2020 1.00.00,API 200E,44,ug/m3,,,1,1
PARCO RESISTENZA,01/01/2020 1.00.00,01/01/2020 2.00.00,API 200E,45,ug/m3,,,1,1
PARCO RESISTENZA,01/01/2020 2.00.00,01/01/2020 3.00.00,API 200E,41,ug/m3,,,1,1
PARCO RESISTENZA,01/01/2020 3.00.00,01/01/2020 4.00.00,API 200E,39,ug/m3,,,1,1
